"model","forecast_date","target","horizon","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95","scores_imputed"
"HotPie",2021-12-15,"DAX","7 day",-3.84611143371534,-1.05429591719323,0.488757647611238,1.83950930350894,4.48137984612121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"DAX","1 day",-3.6073341,-0.90065432,-0.21568365,0.6049975,2.2736049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"DAX","2 day",-4.781872,-1.53774166,0.35847518,1.5458946,4.1972823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"DAX","5 day",-5.368312,-1.7080145,0.44990382,2.1365924,3.7427034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"DAX","6 day",-8.729,-0.584962,1.2946332,3.5602007,4.6274753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joey",2021-12-15,"DAX","7 day",-6.8531485,-2.0597651,0.8317366,2.7911723,4.463439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"DAX","1 day",-4.4389354019067,-1.6566905362257,0.0443560362197289,2.00212284811154,4.92231856327764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"DAX","2 day",-4.25123788470455,-1.55313225040574,-0.552442054123613,1.96770017002661,4.78853916047074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"DAX","5 day",-4.26287319455893,-1.71989552968657,-0.434395368058077,2.09467864770765,5.24822083245524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"DAX","6 day",-4.24076923123003,-1.43275011835972,-0.255438877757579,2.01782148988765,4.62169757981729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"Joffrey_Baratheon",2021-12-15,"DAX","7 day",-4.2467858636849,-2.28756344092745,-0.190839719848453,1.98173335606662,4.81056469607459,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"KyloRen",2021-12-15,"DAX","1 day",-2.5181323479867,-0.438124849563497,0.0794891153643789,0.628458427360058,2.23396105906785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"KyloRen",2021-12-15,"DAX","2 day",-3.38328903206411,-0.649903946188738,0.135912370932312,0.869344199314636,2.99302433767528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
