"model","target","horizon","forecast_date","q0.025","q0.25","q0.5","q0.75","q0.975","value","qscore_q0.025","qscore_q0.25","qscore_q0.5","qscore_q0.75","qscore_q0.975","mean_qscore","ae","interval_coverage_0.5","interval_coverage_0.95"
"DexterJettster","DAX","1 day",2021-10-27,-1.8161953693977,-0.324756987105124,0.109073715116637,0.572088417648819,1.67659203602573,-0.0603748177303132,0.0877910275833693,0.132191084687405,0.16944853284695,0.316231617689566,0.0868483426878022,0.158502121099019,0.16944853284695,TRUE,TRUE
"Joffrey_Baratheon","DAX","1 day",2021-10-27,-2.64734529,-0.4868175,0.06041393,0.65138658,2.29160173,-0.0603748177303132,0.129348523613484,0.213221341134843,0.120788747730313,0.355880698865157,0.117598827386516,0.187367627746063,0.120788747730313,TRUE,TRUE
"UglyNakedGuy","DAX","1 day",2021-10-27,-1.23064597735448,-0.368002949531811,-0.0747224614446484,0.218558026642514,1.08120105446518,-0.0603748177303132,0.0585135579812083,0.153814065900749,0.0143476437143352,0.139466422186414,0.0570787936097747,0.0846440966784962,0.0143476437143352,TRUE,TRUE
"median_ensemble","DAX","1 day",2021-10-27,-2.25129809056312,-0.685331214947359,-0.184359215913708,0.338099663793135,1.60115986966893,-0.0603748177303132,0.10954616364164,0.312478198608523,0.123984398183395,0.199237240761724,0.0830767343699622,0.165664547113049,0.123984398183395,TRUE,TRUE
"JabbaTheHutt","DAX","1 day",2021-10-27,-2.52082,-0.42176,0.07588,0.65858,2.09351,-0.0603748177303132,0.123022259113484,0.180692591134843,0.136254817730313,0.359477408865157,0.107694240886516,0.181428263546063,0.136254817730313,TRUE,TRUE
"RossGeller","DAX","1 day",2021-10-27,-2.54313315438559,-0.441346043672964,0.070164838825257,0.586441807261514,2.04849337513532,-0.0603748177303132,0.124137916832764,0.190485612971325,0.13053965655557,0.323408312495914,0.105443409643282,0.174802981699771,0.13053965655557,TRUE,TRUE
"KyloRen","DAX","1 day",2021-10-27,-2.49365677508569,-0.441905348996686,0.0841512564955417,0.639838158128306,2.2308831554795,-0.0603748177303132,0.121664097867769,0.190765265633186,0.144526074225855,0.35010648792931,0.114562898660491,0.184324964863322,0.144526074225855,TRUE,TRUE
"HanSolo","DAX","1 day",2021-10-27,-1.84295439609778,-0.568222560217655,0.0644075366408668,0.764961732363779,2.68789008267044,-0.0603748177303132,0.0891289789183732,0.253923871243671,0.12478235437118,0.412668275047046,0.137413245020038,0.203583344920062,0.12478235437118,TRUE,TRUE
"ObiWanKenobi","DAX","1 day",2021-10-27,-1.81419922941661,-0.343204990026094,0.0614344678127467,0.431688065977659,1.34091759481748,-0.0603748177303132,0.0876912205843148,0.14141508614789,0.12180928554306,0.246031441853986,0.0700646206273897,0.133402330951328,0.12180928554306,TRUE,TRUE
"PhoebeBuffay","DAX","1 day",2021-10-27,-1.83015230676525,-0.396516336400956,0.101931295549373,0.491625161951142,1.65915333705212,-0.0603748177303132,0.0884888744517469,0.168070759335321,0.162306113279686,0.275999989840728,0.0859764077391217,0.156168428929321,0.162306113279686,TRUE,TRUE
"HotPie","DAX","1 day",2021-10-27,-1.56051658493806,-0.355063112458173,0.108384499972817,0.523705691329089,1.57587324544378,-0.0603748177303132,0.0750070883603873,0.14734414736393,0.16875931770313,0.292040254529701,0.0818124031587047,0.152992642223171,0.16875931770313,TRUE,TRUE
"Yoda","DAX","1 day",2021-10-27,-2.0090927551869,-0.33051091135568,0.11474971583973,0.60920030802884,1.89320335199281,-0.0603748177303132,0.0974358968728293,0.135068046812683,0.175124533570043,0.334787562879577,0.0976789084861562,0.168018989724258,0.175124533570043,TRUE,TRUE
